version,BN,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
7,0,0,50-c,1,4,"[17, 18, 22, 23, 25, 26, 32, 43, 44, 53, 73, 87, 88]",13,2-3,0.38461538461538464,0,15,3,0.21787034266185046,0.013885080814361572
8,0,1,50-c,1,4,"[17, 18, 22, 23, 25, 26, 32, 43, 44, 53, 73, 87, 88]",13,2-3,0.38461538461538464,0,15,3,0.2427253848872978,0.019784370437264442
7,0,0,51-c,1,4,"[17, 18, 22, 23, 25, 32, 43, 45, 53, 73, 87, 88]",12,2-4,0.5,0,14,4,0.2095443305811082,0.013215316459536552
8,0,1,51-c,1,4,"[17, 18, 22, 23, 25, 32, 43, 45, 53, 73, 87, 88]",12,2-4,0.5,0,14,4,0.23202901948806542,0.019093314185738564
7,0,0,52-c,1,4,"[17, 18, 22, 23, 25, 26, 32, 43, 44, 45, 53, 73, 87, 88]",14,2-3,0.35714285714285715,0,16,3,0.21614157655006613,0.013632981106638908
8,0,1,52-c,1,4,"[17, 18, 22, 23, 25, 26, 32, 43, 44, 45, 53, 73, 87, 88]",14,2-3,0.35714285714285715,0,16,3,1.2657987107620008,0.10371474921703339
7,0,0,53-c,1,4,"[17, 18, 22, 23, 43, 45, 53, 73, 74, 75, 82, 87, 88]",13,2-4,0.46153846153846156,0,15,4,0.22941590685057997,0.014065388590097427
8,0,1,53-c,1,4,"[17, 18, 22, 23, 43, 45, 53, 73, 74, 75, 82, 87, 88]",13,2-4,0.46153846153846156,0,15,4,0.2661002943539268,0.020257707685232162
7,0,0,55-c,1,4,"[17, 18, 22, 23, 25, 26, 32, 43, 44, 53, 73, 88]",12,2-2,0.3333333333333333,0,14,2,0.3107667678828417,0.017771540209650993
8,0,1,55-c,1,4,"[17, 18, 22, 23, 25, 26, 32, 43, 44, 53, 73, 88]",12,2-2,0.3333333333333333,0,14,2,0.3435370084304189,0.023503342643380165
7,0,0,56-c,1,4,"[8, 10, 14, 15, 16, 19, 21, 46, 47, 61, 77, 78]",12,2-5,0.5833333333333334,0,14,5,0.08775073196758393,0.007716419640928507
7,0,0,59-c,1,4,"[17, 18, 22, 23, 25, 26, 32, 43, 45, 53, 73, 87, 88]",13,2-4,0.46153846153846156,0,15,4,0.2155186729077277,0.01313555147498846
8,0,1,59-c,1,4,"[17, 18, 22, 23, 25, 26, 32, 43, 45, 53, 73, 87, 88]",13,2-4,0.46153846153846156,0,15,4,0.24283447992304696,0.0195662509649992
7,0,0,test,1,4,"[39, 68, 84]",3,1-2,1.0,0,4,2,0.08982668467829648,0.010254710912704468
8,0,1,test,1,4,"[39, 68, 84]",3,1-2,1.0,0,4,2,0.10387445467991778,0.016179833561182022
7,0,0,0-c,2,4,"[14, 47, 62, 64]",4,2-3,1.25,0,6,3,0.1218846432301726,0.010030367411673069
8,0,1,0-c,2,4,"[14, 47, 62, 64]",4,2-3,1.25,0,6,3,0.15619533075922112,0.01772703416645527
7,0,0,1-c,2,4,"[25, 26, 32, 73, 88]",5,1-3,0.8,0,6,3,0.10545327267503114,0.009049584157764912
8,0,1,1-c,2,4,"[25, 26, 32, 73, 88]",5,1-3,0.8,0,6,3,0.12799117092019074,0.015713918954133987
7,0,0,2-c,2,4,"[41, 42, 58]",3,1-1,0.6666666666666666,0,4,1,0.16203328207709938,0.014595229178667068
8,0,1,2-c,2,4,"[41, 42, 58]",3,1-1,0.6666666666666666,0,4,1,5.153517572182203,0.27912041544914246
7,0,0,3-c,2,4,"[9, 49, 66]",3,1-1,0.6666666666666666,0,4,1,0.06876424564678538,0.006660216487944126
8,0,1,3-c,2,4,"[9, 49, 66]",3,1-1,0.6666666666666666,0,4,1,0.10045966476224516,0.016522277146577835
7,0,0,4-c,2,4,"[11, 60]",2,1-0,0.5,0,3,0,0.032613268357938395,0.013163725845515728
8,0,1,4-c,2,4,"[11, 60]",2,1-0,0.5,0,3,0,0.037602120656926405,0.019758570939302444
7,0,0,5-c,2,4,"[51, 52, 79]",3,1-1,0.6666666666666666,0,4,1,0.22443330769798664,0.015388129279017448
8,0,1,5-c,2,4,"[51, 52, 79]",3,1-1,0.6666666666666666,0,4,1,0.2651768038551437,0.02360624447464943
7,0,0,6-c,2,4,"[74, 76]",2,1-1,1.0,0,3,1,0.20337649469343383,0.012983191758394241
8,0,1,6-c,2,4,"[74, 76]",2,1-1,1.0,0,3,1,0.23083886860444933,0.020017990842461586
7,0,0,7-c,2,4,"[36, 38, 59]",3,1-2,1.0,0,4,2,0.09781979482932193,0.008237646892666817
