,cluster_key,cluster_set,network,mlp_v1_mae,mlp_v1_loss,mlp_v1_reg_mae,mlp_v1_reg_loss,mlp_v2_mae,mlp_v2_loss,mlp_v2_reg_mae,mlp_v2_reg_loss
0,25-c,2,1,0.1008878421538449,0.0112924724817276,1.444003159425014,0.10682640969753265,0.055953490608278686,0.006077256519347429,0.06771062922972904,0.011199683882296085
1,1-c,2,1,0.17401702667995425,0.01072024554014206,0.22420174044110347,0.016091426834464073,3.523688098654968,0.13912449777126312,1.1123854447373178,0.09475862979888916
2,9-c,2,1,0.3601107750935109,0.020914560183882713,0.40129388396639337,0.02649095468223095,0.8356622879608882,0.061121389269828796,1.1783456522103022,0.07517693191766739
3,10-c,2,1,7.857407071962557,0.5971195101737976,0.301737622192075,0.02694365382194519,0.0868434218062285,0.0066721197217702866,0.11782908977035451,0.01248113065958023
4,20-c,2,1,0.1293368720554964,0.011088080704212189,0.14273336075811086,0.01506906095892191,0.06250613692403238,0.005382785573601723,1.8548946388730372,0.15154510736465454
5,28-c,2,1,0.16766717328462843,0.01837787963449955,1.3506170374669089,0.2663853168487549,2.3837337593499703,0.16762587428092957,0.15334576109363593,0.016750624403357506
6,6-c,2,1,0.10942122232357535,0.009503410197794437,0.11654490163826747,0.013618923723697662,0.7559582763151061,0.06949059665203094,0.567445449295899,0.13040246069431305
7,21-c,2,1,4.42356842736908,0.1772908866405487,1.5160589659397832,0.1220562532544136,0.11261863103566028,0.006335495971143246,0.14833208433383804,0.011152897030115128
8,27-c,2,1,0.8167344698373039,0.15977054834365845,0.14399395794365488,0.017533376812934875,0.07056856624289644,0.006884411443024874,0.08460119604757027,0.012515976093709469
9,7-c,2,1,1.5465815363702764,0.08809433877468109,1.4329634296017861,0.09073808789253235,1.3016805244885439,0.07947701960802078,0.14869321868104335,0.014652133919298649
10,15-c,2,1,0.14908860988619704,0.010997154749929905,0.17869055125579972,0.015214691869914532,0.10733776829802406,0.006775892339646816,4.684171668457894,0.26239705085754395
11,22-c,2,1,1.9026532385815185,0.09574566036462784,0.8009066639591587,0.1241753101348877,0.13044197527351997,0.011561816558241844,0.540871243975335,0.12310411036014557
12,3-c,2,1,1.058704004586325,0.10159079730510712,1.0680322469064247,0.10537341982126236,0.0424261960054644,0.004075056407600641,0.06210140723576914,0.009232890792191029
13,17-c,2,1,0.1297756196381096,0.012786025181412697,0.5682915560609265,0.13891348242759705,0.08841829439553403,0.007997607812285423,1.2042055686177657,0.09145140647888184
14,13-c,2,1,0.8610008395625763,0.035550523549318314,0.9371991597214714,0.04017264395952225,0.6764067201973364,0.026429995894432068,10.58453434352311,0.25799939036369324
15,2-c,2,1,0.16902801646753574,0.01778274029493332,0.19290184506279903,0.02268899977207184,0.13455671978755723,0.012866593897342682,0.1581800026725798,0.01806623302400112
16,29-c,2,1,0.36431015362262364,0.03043464571237564,0.4066823067627721,0.036877069622278214,3.0581796723873187,0.1558704674243927,0.24638315343726355,0.02782115712761879
17,11-c,2,1,0.06376578855787687,0.009319379925727844,2.49987500114054,0.21789085865020752,0.03119052548894805,0.003735653357580304,0.03771842124406357,0.008051338605582714
