version,BN,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
10,0,1,55-c,1,4,"[17, 18, 22, 23, 25, 26, 32, 43, 44, 53, 73, 88]",12,2-2,0.3333333333333333,0,14,2,0.36341777120474017,0.02433144859969616
8,0,0,59-c,1,4,"[17, 18, 22, 23, 25, 26, 32, 43, 45, 53, 73, 87, 88]",13,2-4,0.46153846153846156,0,15,4,0.1777196990378807,0.010610857978463173
10,0,1,59-c,1,4,"[17, 18, 22, 23, 25, 26, 32, 43, 45, 53, 73, 87, 88]",13,2-4,0.46153846153846156,0,15,4,0.2871783648391873,0.02066873386502266
8,0,0,test,1,4,"[39, 68, 84]",3,1-2,1.0,0,4,2,0.05843516732057086,0.006584396585822105
10,0,1,test,1,4,"[39, 68, 84]",3,1-2,1.0,0,4,2,0.08198599465698628,0.013169961981475353
8,0,0,0-c,2,4,"[14, 47, 62, 64]",4,2-3,1.25,0,6,3,0.08193127694272888,0.005289452616125345
8,0,0,1-c,2,4,"[25, 26, 32, 73, 88]",5,1-3,0.8,0,6,3,0.06911207816379103,0.0061735366471111774
10,0,1,1-c,2,4,"[25, 26, 32, 73, 88]",5,1-3,0.8,0,6,3,0.14373216675705,0.01595044694840908
8,0,0,2-c,2,4,"[41, 42, 58]",3,1-1,0.6666666666666666,0,4,1,0.14551290338062955,0.01092466339468956
10,0,1,2-c,2,4,"[41, 42, 58]",3,1-1,0.6666666666666666,0,4,1,0.18845213398050253,0.019029198214411736
8,0,0,3-c,2,4,"[9, 49, 66]",3,1-1,0.6666666666666666,0,4,1,0.033534136847117715,0.0031407163478434086
10,0,1,3-c,2,4,"[9, 49, 66]",3,1-1,0.6666666666666666,0,4,1,0.09143350387864034,0.014589441008865833
8,0,0,4-c,2,4,"[11, 60]",2,1-0,0.5,0,3,0,0.0038921350479766774,0.001616920344531536
10,0,1,4-c,2,4,"[11, 60]",2,1-0,0.5,0,3,0,0.012304757463923491,0.009836877696216106
8,0,0,5-c,2,4,"[51, 52, 79]",3,1-1,0.6666666666666666,0,4,1,0.19992816767452526,0.0123649463057518
10,0,1,5-c,2,4,"[51, 52, 79]",3,1-1,0.6666666666666666,0,4,1,0.28097772802800813,0.026616128161549568
8,0,0,6-c,2,4,"[74, 76]",2,1-1,1.0,0,3,1,2.441396958197481,0.3657110929489136
10,0,1,6-c,2,4,"[74, 76]",2,1-1,1.0,0,3,1,0.2619057144893368,0.02270178496837616
8,0,0,7-c,2,4,"[36, 38, 59]",3,1-2,1.0,0,4,2,0.07037874572415945,0.005368840415030718
10,0,1,7-c,2,4,"[36, 38, 59]",3,1-2,1.0,0,4,2,0.1584243202587401,0.0168767087161541
8,0,0,8-c,2,4,"[17, 18, 43, 53]",4,2-1,0.75,0,6,1,0.38996275402356756,0.01903582736849785
10,0,1,8-c,2,4,"[17, 18, 43, 53]",4,2-1,0.75,0,6,1,0.5654355290974825,0.029427630826830864
8,0,0,9-c,2,4,"[51, 52, 68, 84]",4,1-2,0.75,0,5,2,0.07748037120305441,0.007102751638740301
